"Логин";"Компьютер";"IP-адрес";"Открыта";"Активность";"Используется";"Приложение";"Уровень доступа";"Тип входа";"Тип лицензии";"Тип сервиса";"Устройство";"ОС"
ALMAZ-ANTEY\b.bevza;10.250.0.97;10.250.0.97;07.12.2020 14:49:38;07.12.2020 18:40:07;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
ALMAZ-ANTEY\b.bevza;10.250.0.64;10.250.0.64;04.12.2020 15:55:29;04.12.2020 16:10:33;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
ALMAZ-ANTEY\b.bevza;10.250.0.27;10.250.0.27;02.12.2020 08:29:09;02.12.2020 16:03:16;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
ALMAZ-ANTEY\b.bevza;10.250.0.22;10.250.0.22;03.12.2020 08:29:57;03.12.2020 19:48:41;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
ALMAZ-ANTEY\b.bevza;10.250.0.26;10.250.0.26;10.12.2020 08:25:07;10.12.2020 14:27:52;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
ALMAZ-ANTEY\a.begovatova;17244-KRAF.almaz-antey.org;10.250.20.40;10.12.2020 13:41:43;10.12.2020 14:26:51;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\o.belyaeva;CZC43215LM-COMP.almaz-antey.org;10.250.10.168;10.12.2020 09:07:47;10.12.2020 14:30:13;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
almaz-antey\vladbes;10.250.0.15;10.250.0.15;07.12.2020 09:57:09;07.12.2020 18:22:37;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\vladbes;10.250.0.31;10.250.0.31;02.12.2020 15:06:11;02.12.2020 16:00:37;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\vladbes;10.250.0.21;10.250.0.21;10.12.2020 12:15:30;10.12.2020 13:24:26;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
ALMAZ-ANTEY\natalyab;16909-KRAF.almaz-antey.org;10.250.10.119;10.12.2020 08:55:12;10.12.2020 14:30:11;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\v.bulgakova;0011499249-KRAF.almaz-antey.org;10.250.14.164;10.12.2020 14:27:32;10.12.2020 14:29:11;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.butrik;110716-08KRAF.almaz-antey.org;10.250.15.184;10.12.2020 08:30:23;10.12.2020 14:30:10;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\yuliabu;RUA2140290-COMP.almaz-antey.org;10.250.14.110;07.12.2020 13:33:18;07.12.2020 17:56:12;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\yuliabu;RUA2140290-COMP.almaz-antey.org;10.250.14.110;03.12.2020 14:44:02;03.12.2020 17:54:10;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\olgava;p1108150274-170.almaz-antey.org;10.250.16.70;10.12.2020 12:42:20;10.12.2020 14:30:25;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
almaz-antey\sergva;10.250.0.11;10.250.0.11;10.12.2020 07:11:17;10.12.2020 09:36:22;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\sergva;10.250.0.17;10.250.0.17;02.12.2020 22:31:59;03.12.2020 00:32:06;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\sergva;10.250.0.21;10.250.0.21;09.12.2020 18:34:13;09.12.2020 18:39:20;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\sergva;10.250.0.8;10.250.0.8;05.12.2020 11:41:14;05.12.2020 11:46:21;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\sergva;10.250.0.100;10.250.0.100;07.12.2020 15:13:14;07.12.2020 22:23:28;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\sergva;10.250.0.23;10.250.0.23;02.12.2020 09:00:52;02.12.2020 16:01:16;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\sergva;10.250.0.11;10.250.0.11;07.12.2020 07:50:12;07.12.2020 10:20:21;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
ALMAZ-ANTEY\sergva;rua33605np-comp.almaz-antey.org;10.250.15.96;07.12.2020 11:29:49;07.12.2020 13:39:57;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\sergva;rua33605np-comp.almaz-antey.org;10.250.15.96;10.12.2020 08:28:44;10.12.2020 12:35:07;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
almaz-antey\sergva;10.250.0.101;10.250.0.101;10.12.2020 14:19:10;10.12.2020 14:29:16;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
ALMAZ-ANTEY\vyachev;czc4312m7f-comp.almaz-antey.org;10.250.10.37;10.12.2020 10:56:36;10.12.2020 12:38:27;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\vyachev;czc4312m7f-comp.almaz-antey.org;10.250.10.37;10.12.2020 13:59:40;10.12.2020 14:29:44;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\a.vasileva;17654-KRAF.almaz-antey.org;10.250.16.115;10.12.2020 08:35:44;10.12.2020 14:29:57;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\m.vasileva;RUA14000JT-COMP.almaz-antey.org;10.250.14.55;10.12.2020 13:35:30;10.12.2020 14:30:36;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\s.vinogradskiy;17653-KRAF.almaz-antey.org;10.250.15.205;10.12.2020 13:24:25;10.12.2020 14:28:01;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
almaz-antey\grigovo;10.250.0.10;10.250.0.10;08.12.2020 07:19:50;08.12.2020 16:02:20;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\grigovo;10.250.0.9;10.250.0.9;10.12.2020 13:46:24;10.12.2020 14:26:29;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\a.gavrilochev;10.250.0.70;10.250.0.70;02.12.2020 09:21:03;02.12.2020 16:01:13;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\aagainutdinova;10.250.0.46;10.250.0.46;02.12.2020 09:08:37;02.12.2020 16:03:29;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
almaz-antey\aagainutdinova;10.250.0.75;10.250.0.75;04.12.2020 18:49:58;04.12.2020 18:49:58;да;Tessa Client - уведомления;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
almaz-antey\aagainutdinova;10.250.0.68;10.250.0.68;10.12.2020 09:43:56;10.12.2020 14:28:00;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
almaz-antey\aagainutdinova;10.250.0.24;10.250.0.24;04.12.2020 09:49:50;04.12.2020 18:47:13;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
ALMAZ-ANTEY\olegga;czc42222b3-comp.almaz-antey.org;10.250.64.81;08.12.2020 16:34:03;08.12.2020 16:34:36;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\a.gerasimov;CZC43116P6-COMP.almaz-antey.org;10.250.8.49;03.12.2020 09:16:17;03.12.2020 17:44:40;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.gerasimov;CZC43116P6-COMP.almaz-antey.org;10.250.8.49;07.12.2020 09:00:42;07.12.2020 17:50:49;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.gerasimov;CZC43116P6-COMP.almaz-antey.org;10.250.8.49;10.12.2020 09:11:29;10.12.2020 14:26:37;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\nataget;17686-kraf.almaz-antey.org;10.250.18.91;07.12.2020 10:43:39;07.12.2020 16:53:46;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\nataget;17686-kraf.almaz-antey.org;10.250.18.91;03.12.2020 09:19:18;03.12.2020 09:21:03;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\evgilmshina;szrc-adp.almaz-antey.org;10.0.0.131;08.12.2020 12:51:40;10.12.2020 14:30:53;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\sergeygl;17647-KRAF.almaz-antey.org;10.250.18.33;10.12.2020 09:59:22;10.12.2020 14:29:26;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\sergeygl;17647-KRAF.almaz-antey.org;10.250.18.33;09.12.2020 11:11:31;09.12.2020 18:06:43;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\i.goncharenko;rua30703d8-comp.almaz-antey.org;10.250.64.64;10.12.2020 13:28:44;10.12.2020 14:29:47;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\elenag;16880-KRAF.almaz-antey.org;10.250.12.34;10.12.2020 10:15:17;10.12.2020 10:22:28;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
almaz-antey\alexgor;10.250.0.14;10.250.0.14;03.12.2020 08:13:01;03.12.2020 08:51:49;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Домашняя расширенная  x64 Service Pack 1
ALMAZ-ANTEY\alexgor;czc42222bj-comp.almaz-antey.org;10.250.11.234;07.12.2020 12:24:04;07.12.2020 12:24:39;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\e.gorohova;17969-KRAF.almaz-antey.org;10.250.10.157;10.12.2020 09:37:46;10.12.2020 10:05:06;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.goroshchenya;240316-28KRAF.almaz-antey.org;10.250.10.63;10.12.2020 09:16:49;10.12.2020 14:31:07;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.goroshchenya;240316-28KRAF.almaz-antey.org;10.250.10.63;04.12.2020 09:36:06;04.12.2020 09:56:09;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\n.gryzin;CZC4312M1N-COMP.almaz-antey.org;10.250.8.30;10.12.2020 09:04:57;10.12.2020 14:27:39;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\gubam;17284-KRAF.almaz-antey.org;10.250.16.24;10.12.2020 07:55:12;10.12.2020 14:30:22;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\gubam;17284-KRAF.almaz-antey.org;10.250.16.24;08.12.2020 07:43:03;08.12.2020 14:38:13;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\gzgulordava;19368-KRAF.almaz-antey.org;10.250.8.83;09.12.2020 11:00:30;09.12.2020 11:01:22;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\o.denisov;16387-KRAF.almaz-antey.org;10.250.11.24;10.12.2020 14:29:15;10.12.2020 14:30:28;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\vasild;10.250.13.90;10.250.13.90;08.12.2020 08:47:52;08.12.2020 15:33:13;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
almaz-antey\ivand;10.250.0.63;10.250.0.63;09.12.2020 12:14:56;09.12.2020 13:41:39;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
almaz-antey\ivand;10.250.0.63;10.250.0.63;09.12.2020 13:50:03;09.12.2020 18:02:13;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
almaz-antey\v.drozdova;10.250.0.60;10.250.0.60;08.12.2020 12:27:38;08.12.2020 12:30:22;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
ALMAZ-ANTEY\elenadr;RUA14600PC-COMP.almaz-antey.org;10.250.16.33;10.12.2020 09:05:25;10.12.2020 14:31:02;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\andreyev;260116-16.almaz-antey.org;10.250.20.3;26.11.2020 10:09:15;03.12.2020 10:07:20;нет;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
ALMAZ-ANTEY\enkovsv;18825-KRAF.almaz-antey.org;10.250.10.76;10.12.2020 10:15:17;10.12.2020 12:40:08;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\andrer;RUA24702BD-COMP.almaz-antey.org;10.250.11.21;10.12.2020 12:01:54;10.12.2020 14:26:58;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\mmermakov;RUA243039V-COMP.almaz-antey.org;10.250.9.81;10.12.2020 08:50:12;10.12.2020 11:48:46;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.efimenko;17992-KRAF.almaz-antey.org;10.250.76.95;10.12.2020 13:53:14;10.12.2020 13:53:42;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.efremov;16933-KRAF.almaz-antey.org;10.250.17.75;10.12.2020 09:55:37;10.12.2020 14:30:45;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.efremov;16933-KRAF.almaz-antey.org;10.250.17.75;07.12.2020 08:57:09;07.12.2020 17:42:18;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.efremov;16933-KRAF.almaz-antey.org;10.250.17.75;08.12.2020 08:36:42;08.12.2020 17:46:59;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.efremov;16933-KRAF.almaz-antey.org;10.250.17.75;04.12.2020 08:50:04;04.12.2020 16:15:17;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.efremov;16933-KRAF.almaz-antey.org;10.250.17.75;02.12.2020 09:00:42;02.12.2020 17:45:57;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.efremov;16933-KRAF.almaz-antey.org;10.250.17.75;09.12.2020 09:02:38;09.12.2020 17:47:45;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\d.zheglov;17678-KRAF.almaz-antey.org;10.250.10.31;09.12.2020 16:18:04;09.12.2020 16:20:54;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\andreyzh;RUA14600NW-COMP.almaz-antey.org;10.250.15.149;02.12.2020 08:19:08;02.12.2020 17:38:07;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\andreyzh;RUA14600NW-COMP.almaz-antey.org;10.250.15.149;09.12.2020 07:10:00;09.12.2020 17:26:16;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\andreyzh;RUA14600NW-COMP.almaz-antey.org;10.250.15.149;07.12.2020 08:22:32;07.12.2020 17:33:37;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\andreyzh;RUA14600NW-COMP.almaz-antey.org;10.250.15.149;03.12.2020 09:32:49;03.12.2020 15:46:37;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\andreyzh;RUA14600NW-COMP.almaz-antey.org;10.250.15.149;04.12.2020 08:53:02;04.12.2020 15:54:41;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\andreyzh;RUA14600NW-COMP.almaz-antey.org;10.250.15.149;10.12.2020 07:23:24;10.12.2020 14:26:51;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
almaz-antey\a.zhivotenko;10.250.0.57;10.250.0.57;10.12.2020 09:13:57;10.12.2020 11:33:33;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
