"Рег. номер";"Дата рег.";"Проект. номер";"Дата создания";"Состояние";"Куратор";"Структ. подразделение";"ЦФО";"Вид платежа";"Сумма в валюте";"Валюта";"НДС%";"Получатель";"Банк получателя";"Основание для платежа";"Назначение платежа";"Банк отправителя";"ID закупки";"Аванс/Расчет";"Проект ДЭ";"Проект";"№ п/п";"Дата платежа"
;;994;10.08.2020;Проект;Абрамова Н. А. (ДОД);Департамент обеспечения деятельности;Департамент обеспечения деятельности;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"39 630,29";RUB;0%;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО НПО ""Алмаз"" за возмещение коммунальных и эксплуатационных затрат в апреле 2020 по Договору №9Н-А/160 от 16.03.2020 на  основании счета №102/2 от 30.07.2020"; за возмещение коммунальных и эксплуатационных затрат в апреле 2020 по Договору №9Н-А/160 от 16.03.2020 на  основании счета №102/2 от 30.07.2020;;000013045;Расчет;;;;
;;993;10.08.2020;Проект;Абрамова Н. А. (ДОД);Департамент обеспечения деятельности;Департамент обеспечения деятельности;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"2 058,51";RUB;0%;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО НПО ""Алмаз"" за возмещение коммунальных и эксплуатационных затрат в апреле 2020 по Договору №27Н-А/159 от 29.11.2019 на  основании счета №101/2 от 30.07.2020";за возмещение коммунальных и эксплуатационных затрат в апреле 2020 по Договору №27Н-А/159 от 29.11.2019 на  основании счета №101/2 от 30.07.2020;;000013048;Расчет;;;;
;;992;10.08.2020;На согласовании с руководителем СП;Воробьев А. В. (ДРБ);Департамент режима и безопасности;18;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"347 534,79";RUB;20%;ЧОП ТРАСТ-ТВЕРДЬ;ПАО РОСБАНК;ООО ЧОП «ТРАСТ-ТВЕРДЬ» за выполнение работ по договору № 18/1423 от 10.10.2019 г. на оказание охранных услуг объектов АО «Концерн ВКО «Алмаз-Антей» в июле 2020 года.;"Выполнение охранных услуг  по договору № 18/1423 от 10.10.2019 г., счет на оплату № 199 от 24 июля 2020 г ";;000009585;Расчет;;;;
;;991;10.08.2020;На согласовании с согласующими СП;Линенко А. А. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"7 303 152,30";RUB;20%;ВНИИРА;"СТ-ПЕТЕРБУРГСКИЙ Ф-Л ПАО ""ПРОМСВЯЗЬБАНК""";"Аванс  АО ""ВНИИРА"" за доработку Модуля корректировки и проверки сменных констант и изменяемых параметров системы в составе АС ОрВД ф-ла ""МЦ АУВД""(паередача прав и МиПНР) по договору № 42093 от 23.07.2020.";"Аванс  АО ""ВНИИРА"" за передачу прав и монтажные и пуско-наладочные работы по договору № 42093 от 23.07.2020. Счет на оплату № 200513 от 29.07.2020";;000011931;Аванс;Проекта нет;;;
;;990;10.08.2020;На доработке от казначейства;Асриян А. Э. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"8 819 999,61";RUB;20%;ВЛАДИМИРСКИЙ ЗАВОД ЭЛЕКТРОПРИБОР;ФИЛИАЛ БАНКА ВТБ (ПАО) В Г. ВОРОНЕЖЕ;Авансовый платеж в размере 50% по договору № 1/ГРА/036/98-20 от 13.07.2020г.;Авансовый платеж в размере 50% по договору № 1/ГРА/036/98-20 от 13.07.2020г. согласно счета № 1069 от 13.07.2020;;000012085;Аванс;Проекта нет;;;
;;989;10.08.2020;На доработке от казначейства;Линенко А. А. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"7 364 220,00";RUB;20%;ФИРМА НИТА;СЕВЕРО-ЗАПАДНЫЙ БАНК ПАО СБЕРБАНК;"ООО ""Фирма ""НИТА"". Аванс по договору № 214-20Р от 27.07.2020 за выполнение работ согласно счета  № 2007/27/005 от 27.07.2020.   ";Аванс за выполнение работ по договору № 214-20Р от 27.07.2020. Счет № 2007/22/005 от 22.07.2020. ;;000011929;Аванс;Проекта нет;;;
;;988;10.08.2020;На согласовании с Казначейством;Сергеев В. В. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"326 890,00";RUB;20%;АСТАР;"АО ""АЛЬФА-БАНК""";"Закупка моноблока, неттопов и мониторов по счету № 71 от 10.08.2020 г.";"Закупка моноблока, неттопов и мониторов по счету № 71 от 10.08.2020 г.";БАНК ВТБ (ПАО);000013066;Аванс;Нет проекта;Проекты не выясненные;;
;;987;10.08.2020;Согласован;Кутейников С. П. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"1 000,00";RUB;20%;МТС;"ПАО ""МТС-БАНК""";ПАО «Мобильные ТелеСистемы» за услуги сотовой радиотелефонной связи для корпоративного номера 915-161-08-94 на основании служебной записки от 06.07.2020 г.  № 38-97/сз;Аванс за услуги сотовой радиотелефонной связи ЛС абонента (УИП) 277746298560 по договору № 206080 от 23.12.2000;БАНК ВТБ (ПАО);000012865;Аванс;Нет проекта;Проекты не выясненные;;
;;986;10.08.2020;На согласовании с Казначейством;Зоркина В. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"1 742 800,00";RUB;20%;АМПЛИФЕР;ФИЛИАЛ № 7701 БАНКА ВТБ (ПАО);окончательный расчет по этапу № 4 по договору № 039-Т от 25.11.2019  (поставка аппаратуры управления удаленными радиостанциями) согласно счета № 8 от 15.07.2020;окончательный расчет по этапу № 4 по договору № 039-Т от 25.11.2019  (поставка аппаратуры управления удаленными радиостанциями) согласно счета № 8 от 15.07.2020;;000007979;Расчет;Проекта нет;;;
;;985;10.08.2020;На согласовании с Казначейством;Абрамова Н. А. (ДОД);Департамент обеспечения деятельности;Департамент обеспечения деятельности;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"19 644,78";RUB;20%;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО НПО ""Алмаз"" Аренда земельного участка в августе 2020 по Договору №Н-АЗ62_9 от 01.07.2016 на  основании счета №248 от 03.08.2020";Аренда земельного участка в августе 2020 по Договору №Н-АЗ62_9 от 01.07.2016 на  основании счета №248 от 03.08.2020;;000006471;Аванс;Нет проекта;;;
;;984;10.08.2020;На согласовании с согласующими СП;Инкин А. А. (ДПТП);Департамент производственно-технологической политики;14;"Платежи по выдаче/погашению займов/кредитов, спонсорской поддержке и благотворительности, выплаты по договорам финансирования";"31 305 759,88";RUB;Без НДС;ЗАВОД КРАСНОЕ ЗНАМЯ;ФИЛИАЛ БАНКА ВТБ (ПАО) В Г. ВОРОНЕЖЕ;Платеж по договору беспроцентного займа от 02.10.2017 № 14/1065з для закупки оборудования.;"Транш по договору беспроцентного займа от 02.10.2014/1065з для закупки оборудования., НДС не облагается.";;;Аванс;;;;
;;983;10.08.2020;На доработке от казначейства;Абрамова Н. А. (ДОД);Департамент обеспечения деятельности;Департамент обеспечения деятельности;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"119 820,08";RUB;20%;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО НПО ""Алмаз"" Аренда земельного участка в августе 2020 по Договору №Н-АЗ/63-19 от 25.03.2020 на  основании счета №249 от 03.08.2020";Аренда земельного участка в августе 2020 по Договору №Н-АЗ/63-19 от 25.03.2020 на  основании счета №249 от 03.08.2020;БАНК ВТБ (ПАО);000009588;Аванс;Нет проекта;;;
;;982;10.08.2020;На доработке от казначейства;Абрамова Н. А. (ДОД);Департамент обеспечения деятельности;Департамент обеспечения деятельности;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"20 136,25";RUB;20%;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО НПО ""Алмаз"" Аренда земельного участка в августе 2020 по Договору №Н-АЗ/47-17 от 30.08.2019 на  основании счета №252 от 03.08.2020"; Аренда земельного участка в августе 2020 по Договору №Н-АЗ/47-17 от 30.08.2019 на  основании счета №252 от 03.08.2020;БАНК ВТБ (ПАО);000008390;Аванс;Нет проекта;Проекты не выясненные;;
;;981;10.08.2020;Проект;Абрамова Н. А. (ДОД);Департамент обеспечения деятельности;Департамент обеспечения деятельности;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"24 873,21";RUB;0%;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО НПО ""Алмаз"" Возмещение коммунальных и эксплуатационных затрат в апреле 2020 по Договору №14А-А/197 от 24.05.2019 на  основании счета №172/2 от 30.07.2020"; Возмещение коммунальных и эксплуатационных затрат в апреле 2020 по Договору №14А-А/197 от 24.05.2019 на  основании счета №172/2 от 30.07.2020;;000013042;Расчет;;;;
;;980;10.08.2020;На согласовании с согласующими СП;Родионов И. М. (ДЗП ПВН);Департамент заказов и поставок продукции военного назначения;02;Платежи по ВТС;"119 006,40";RUB;20%;РОСОБОРОНЭКСПОРТ;ВЭБ.РФ;"В качестве возмещения расходов на таможенное оформление и таможенные платежи при вывозе ПВН по договору комиссии от 07.12.2005 №Р/215602141041-512443, отчет-счет от 15.07.2020 № 584";"В качестве возмещения расходов на таможенное оформление и таможенные платежи при вывозе ПВН по договору комиссии от 07.12.2005 №Р/215602141041-512443, отчет-счет от 15.07.2020 № 584";;;Расчет;;;;
;;979;10.08.2020;На доработке от казначейства;Абрамова Н. А. (ДОД);Департамент обеспечения деятельности;Департамент обеспечения деятельности;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"1 464,10";RUB;20%;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО НПО ""Алмаз"" Аренда земельного участка в августе 2020 по Договору №Н-АЗ/47-20 от 13.05.2020 на  основании счета №250 от 03.08.2020"; Аренда земельного участка в августе 2020 по Договору №Н-АЗ/47-20 от 13.05.2020 на  основании счета №250 от 03.08.2020;;000011391;Аванс;Нет проекта;;;
;;978;10.08.2020;На согласовании с согласующими СП;Родионов И. М. (ДЗП ПВН);Департамент заказов и поставок продукции военного назначения;02;Платежи по ВТС;"151 323,10";RUB;20%;РОСОБОРОНЭКСПОРТ;ВЭБ.РФ;"В качестве возмещения расходов на таможенное оформление и таможенные платежи при вывозе ПВН по договору комиссии от 04.07.2005 №Р/215602141035-412914, отчет-счет от 15.07.2020 "" 583";"В качестве возмещения расходов на таможенное оформление и таможенные платежи при вывозе ПВН по договору комиссии от 04.07.2005 №Р/215602141035-412914, отчет-счет от 15.07.2020 "" 583";;;Расчет;;;;
;;977;10.08.2020;На согласовании с согласующими СП;Абрамова Н. А. (ДОД);Департамент обеспечения деятельности;Департамент обеспечения деятельности;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"248 416,67";RUB;20%;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО НПО ""Алмаз"" Аренда помещений в августе 2020 по Договору №20Н-А/154 от 01.07.2019 на  основании счета №239 от 03.08.2020"; Аренда помещений в августе 2020 по Договору №20Н-А/154 от 01.07.2019 на  основании счета №239 от 03.08.2020;;000013060;Аванс;;;;
;;976;10.08.2020;На согласовании с согласующими СП;Абрамова Н. А. (ДОД);Департамент обеспечения деятельности;Департамент обеспечения деятельности;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"8 592,80";RUB;0%;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО НПО ""Алмаз""  Возмещение коммунальных и эксплуатационных затрат в июне 2020 по Договору №11А-А/110 от 31.07.2015 на  основании счета №150/1 от 20.07.2020";Возмещение коммунальных и эксплуатационных затрат в июне 2020 по Договору №11А-А/110 от 31.07.2015 на  основании счета №150/1 от 20.07.2020;;000013056;Расчет;;;;
;;975;10.08.2020;На согласовании с согласующими СП;Абрамова Н. А. (ДОД);Департамент обеспечения деятельности;Департамент обеспечения деятельности;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"95 699,00";RUB;20%;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО НПО ""Алмаз"" Аренда помещений в августе 2020 по Договору №11А-А/110 от 31.07.2015 на  основании счета №224 от 03.08.2020";Аренда помещений в августе 2020 по Договору №11А-А/110 от 31.07.2015 на  основании счета №224 от 03.08.2020;;000013059;Аванс;;;;
;;974;10.08.2020;На согласовании с согласующими СП;Абрамова Н. А. (ДОД);Департамент обеспечения деятельности;Департамент обеспечения деятельности;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"187 928,42";RUB;20%;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО НПО ""Алмаз"" Аренда помещений в августе 2020 по Договору №14А-А/197 от 24.05.2019 на  основании счета №228 от 03.08.2020"; Аренда помещений в августе 2020 по Договору №14А-А/197 от 24.05.2019 на  основании счета №228 от 03.08.2020;;000009594;Аванс;;;;
;;973;10.08.2020;На согласовании с согласующими СП;Родионов И. М. (ДЗП ПВН);Департамент заказов и поставок продукции военного назначения;025;Платежи по ВТС;"5 259,10";USD;0%;МИНОБОРОНЫ РОССИИ;ОПЕРАЦИОННЫЙ ДЕПАРТАМЕНТ БАНКА РОССИИ;Оплата за оказанные услуги по клнтролю качества и приемке продукции по договору от 16.01.2015 № 100/43/УВП-15/20 с доп. соглашением № 2 от 20.12.2019;Оплата за оказанные услуги по клнтролю качества и приемке продукции по договору от 16.01.2015 № 100/43/УВП-15/20 с доп. соглашением № 2 от 20.12.2019;;;Расчет;нет проекта;;;
;;972;10.08.2020;На согласовании с Казначейством;Абрамова Н. А. (ДОД);Департамент обеспечения деятельности;Департамент обеспечения деятельности;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"21 247,24";RUB;0%;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО НПО ""Алмаз"" Возмещение коммунальных и эксплуатационных затрат в июне 2020 по Договору №14А-А/197 от 24.05.2019 на  основании счета №172/1            от 20.07.2020"; Возмещение коммунальных и эксплуатационных затрат в июне 2020 по Договору №14А-А/197 от 24.05.2019 на  основании счета №172/1            от 20.07.2020;БАНК ВТБ (ПАО);000013055;Расчет;Нет проекта;Проекты не выясненные;;
;;971;10.08.2020;На согласовании с согласующими СП;Ухварёнок В. П. (ДЗП ПВН);Департамент заказов и поставок продукции военного назначения;02;Платежи по ВТС;"6 963 450,13";RUB;0%;РПТП ГРАНИТ;ФИЛИАЛ БАНКА ВТБ (ПАО) В Г. ВОРОНЕЖЕ;"Аванс на выполнение работ на территории заказчика 012 по поверке КИП по договору №АА-012/02-2182 от 10.07.2020
Счет № 174 от 22.07.2020";"Аванс на выполнение работ на территории заказчика 012 по поверке КИП по договору №АА-012/02-2182 от 10.07.2020
Счет № 174 от 22.07.2020";;;Аванс;нет проекта;;;
;;970;10.08.2020;На согласовании с Казначейством;Абрамова Н. А. (ДОД);Департамент обеспечения деятельности;Департамент обеспечения деятельности;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"197 500,22";RUB;0%;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО НПО ""Алмаз"" Возмещение коммунальных и эксплуатационных затрат в июне 2020 по Договору №11А-А/192 от 12.03.2019 на  основании счета №153/1от 20.07.2020"; Возмещение коммунальных и эксплуатационных затрат в июне 2020 по Договору №11А-А/192 от 12.03.2019 на  основании счета №153/1от 20.07.2020;;000013057;Расчет;Нет проекта;;;
;;969;10.08.2020;На согласовании с согласующими СП;Родионов И. М. (ДЗП ПВН);Департамент заказов и поставок продукции военного назначения;02;Платежи по ВТС;"31 284,00";USD;0%;МИНОБОРОНЫ РОССИИ;ОПЕРАЦИОННЫЙ ДЕПАРТАМЕНТ БАНКА РОССИИ;Оплата за оказанные услуги по клнтролю качества и приемке продукции по договору от 16.01.2015 № 100/43/УВП-15/20 с доп. соглашением № 2 от 20.12.2019;Оплата за оказанные услуги по клнтролю качества и приемке продукции по договору от 16.01.2015 № 100/43/УВП-15/20 с доп. соглашением № 2 от 20.12.2019;;;Расчет;нет проекта;;;
;;967;10.08.2020;На согласовании с согласующими СП;Ухварёнок В. П. (ДЗП ПВН);Департамент заказов и поставок продукции военного назначения;02;Платежи по ВТС;"7 500,00";RUB;0%;РОСОБОРОНЭКСПОРТ;ВЭБ.РФ;"Возмещение расходов по оформлению лицензии нв вывоз  продукции по договору № Р/1201202131986-1215048 от 29.04.2013.
 Счет №501 от 29.06.2020";"Возмещение расходов по оформлению лицензии нв вывоз  продукции по договору № Р/1201202131986-1215048 от 29.04.2013.
 Счет №501 от 29.06.2020";;;Расчет;;;;
;;966;10.08.2020;На согласовании с согласующими СП;Абрамова Н. А. (ДОД);Департамент обеспечения деятельности;Департамент обеспечения деятельности;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"25 717,50";RUB;20%;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО НПО ""Алмаз"" за аренду помещений в августе 2020 по Договору №27Н-А/159 от 29.11.2019 на  основании счета №243 от 03.08.2020";за аренду помещений в августе 2020 по Договору №27Н-А/159 от 29.11.2019 на  основании счета №243 от 03.08.2020;;000009309;Аванс;;;;
;;965;10.08.2020;Проект;Майорова Е. С. (ДПТП);Департамент производственно-технологической политики;14;"Оплата штрафов, пени, пошлин";"59 065 928,00";RUB;Без НДС;МИНПРОМТОРГ РОССИИ;ОПЕРАЦИОННЫЙ ДЕПАРТАМЕНТ БАНКА РОССИИ;Оплата во исполнение Постановления от 13.07.2020 по делу № А40-160588/18-64-1234сс;Оплата во исполнение Постановления от 13.07.2020 по делу № А40-160588/18-64-1234сс;;;Расчет;;;;
